,zipcode,income,state
1026,85928,25838,AZ
1027,85929,166233,AZ
1028,85930,5844,AZ
1029,85932,7639,AZ
1030,85933,53866,AZ
1031,85934,9230,AZ
1032,85935,124123,AZ
1033,85936,61160,AZ
1034,85937,141469,AZ
1035,85938,46144,AZ
1036,85939,70462,AZ
1037,85940,22096,AZ
1038,85941,71351,AZ
1039,86001,803541,AZ
1040,86003,62442,AZ
1041,86004,969623,AZ
1042,86015,25322,AZ
1043,86017,27730,AZ
1044,86018,28460,AZ
1045,86020,19165,AZ
1046,86021,54021,AZ
1047,86022,24999,AZ
1048,86023,52979,AZ
1049,86024,19885,AZ
1050,86025,84938,AZ
1051,86030,10826,AZ
1052,86031,13589,AZ
1053,86032,24158,AZ
1054,86033,113475,AZ
1055,86034,20347,AZ
1056,86035,20085,AZ
1057,86036,5501,AZ
1058,86039,18019,AZ
1059,86040,253359,AZ
1060,86042,17049,AZ
1061,86043,15160,AZ
1062,86044,37936,AZ
1063,86045,155223,AZ
1064,86046,119171,AZ
1065,86047,187650,AZ
1066,86053,27852,AZ
1067,86054,21944,AZ
1068,86301,693706,AZ
1069,86303,614930,AZ
1070,86305,732167,AZ
1071,86314,670310,AZ
1072,86315,260231,AZ
1073,86320,24510,AZ
1074,86321,49859,AZ
1075,86322,218262,AZ
1076,86323,361369,AZ
1077,86324,101136,AZ
1078,86325,147994,AZ
1079,86326,481457,AZ
1080,86327,248882,AZ
1081,86329,23746,AZ
1082,86331,10922,AZ
1083,86332,23296,AZ
1084,86333,76330,AZ
1085,86334,71017,AZ
1086,86335,72657,AZ
1087,86336,452431,AZ
1088,86337,19336,AZ
1089,86338,16231,AZ
1090,86351,246846,AZ
1091,86401,526557,AZ
1092,86403,318082,AZ
1093,86404,373690,AZ
1094,86406,590446,AZ
1095,86409,378946,AZ
1096,86413,112828,AZ
1097,86426,261955,AZ
1098,86429,148222,AZ
1099,86431,3510,AZ
1100,86432,25813,AZ
1101,86434,21818,AZ
1102,86435,3180,AZ
1103,86436,25600,AZ
1104,86438,10764,AZ
1105,86440,100661,AZ
1106,86441,15623,AZ
1107,86442,447437,AZ
1108,86444,14933,AZ
1109,86445,4423,AZ
1110,86502,8974,AZ
1111,86503,132473,AZ
1112,86504,65660,AZ
1113,86505,53912,AZ
1114,86506,8757,AZ
1115,86507,16478,AZ
1116,86508,4846,AZ
1117,86510,41960,AZ
1118,86511,36732,AZ
1119,86512,25482,AZ
1120,86514,27259,AZ
1121,86515,190216,AZ
1122,86520,12951,AZ
1123,86535,8464,AZ
1124,86538,16478,AZ
1125,86540,4984,AZ
1126,86544,5468,AZ
1127,86545,16251,AZ
1128,86547,7953,AZ
1129,86556,14531,AZ
1130,99999,4059925,AZ
1131,0,69631421,AR
1132,71601,156872,AR
1133,71602,323186,AR
1134,71603,558031,AR
1135,71630,6378,AR
1136,71631,8116,AR
1137,71635,211691,AR
1138,71638,40657,AR
1139,71639,92385,AR
1140,71640,31990,AR
1141,71642,9079,AR
1142,71643,15056,AR
1143,71644,11724,AR
1144,71646,113979,AR
1145,71647,24533,AR
1146,71652,16077,AR
1147,71653,108673,AR
1148,71654,79881,AR
1149,71655,265088,AR
1150,71658,6966,AR
1151,71660,15269,AR
1152,71661,2373,AR
1153,71663,18999,AR
1154,71665,112403,AR
1155,71667,127202,AR
1156,71670,20542,AR
1157,71671,138496,AR
1158,71674,9730,AR
1159,71675,33588,AR
1160,71676,7197,AR
1161,71701,319314,AR
1162,71711,14548,AR
1163,71720,41405,AR
1164,71724,6739,AR
1165,71725,6982,AR
1166,71726,15162,AR
1167,71730,741320,AR
1168,71740,29299,AR
1169,71742,77984,AR
1170,71743,57973,AR
1171,71744,58065,AR
1172,71745,4850,AR
1173,71747,13559,AR
1174,71749,51371,AR
1175,71751,15456,AR
1176,71752,12016,AR
1177,71753,281365,AR
1178,71758,9516,AR
1179,71759,16685,AR
1180,71762,57870,AR
1181,71763,27790,AR
1182,71764,26493,AR
1183,71765,34416,AR
1184,71766,9405,AR
1185,71770,47903,AR
1186,71801,213812,AR
1187,71822,158494,AR
1188,71825,9800,AR
1189,71826,15199,AR
1190,71827,10418,AR
1191,71832,157585,AR
1192,71833,36533,AR
1193,71834,21571,AR
1194,71835,20343,AR
1195,71836,46883,AR
1196,71837,82706,AR
1197,71838,12937,AR
1198,71841,11482,AR
1199,71842,34575,AR
1200,71845,27341,AR
1201,71846,40609,AR
1202,71847,9779,AR
1203,71851,28700,AR
1204,71852,172737,AR
1205,71853,7161,AR
