,zipcode,tot_income,state,population,city,lat,long,county,av_income
1975,72679,7618,AR,49,TILLY,35.69,-92.86,Pope,155469.0
1976,72679,7618,AR,49,TILLY,35.69,-92.86,Van Buren,155469.0
1977,72680,9692,AR,613,TIMBO,35.86,-92.3,Stone,15811.0
1978,72682,9097,AR,592,VALLEY SPRINGS,36.15,-92.99,Marion,15367.0
1979,72683,3712,AR,327,VENDOR,35.94,-93.1,Newton,11352.0
1980,72685,18754,AR,1352,WESTERN GROVE,36.1,-92.95,Newton,13871.0
1981,72687,86726,AR,5920,YELLVILLE,36.22,-92.68,Marion,14650.0
1982,72701,982218,AR,41996,FAYETTEVILLE,36.07,-94.15,Washington,23388.0
1983,72703,1178688,AR,31581,FAYETTEVILLE,36.07,-94.15,Washington,37323.0
1984,72704,828934,AR,24943,FAYETTEVILLE,36.07,-94.15,Benton,33233.0
1985,72704,828934,AR,24943,FAYETTEVILLE,36.07,-94.15,Washington,33233.0
1986,72712,6017128,AR,49310,BENTONVILLE,36.36,-94.2,Benton,122027.0
1987,72714,415047,AR,12351,BELLA VISTA,36.46,-94.29,Benton,33604.0
1988,72715,528421,AR,16068,BELLA VISTA,36.46,-94.29,Benton,32887.0
1989,72717,12484,AR,970,CANEHILL,35.91,-94.4,Washington,12870.0
1990,72718,179042,AR,2315,CAVE SPRINGS,36.26,-94.22,Benton,77340.0
1991,72719,387310,AR,10646,CENTERTON,36.36,-94.28,Benton,36381.0
1992,72721,6293,AR,441,COMBS,35.81,-93.83,Madison,14270.0
1993,72722,49097,AR,3605,DECATUR,36.33,-94.45,Benton,13619.0
1994,72727,110748,AR,6334,ELKINS,36.01,-94.02,Madison,17485.0
1995,72727,110748,AR,6334,ELKINS,36.01,-94.02,Washington,17485.0
