occupation,state,tot_employement,perc,h_mean,annual_mean,10,25,med,75,90
Production,ID,44560,64.998,16.97,35290,20160,24670,32160,41470,54390
Transportation and Material Moving,ID,42800,62.418,16.9,35150,18930,23500,31450,41970,57760
All,IL,5927860,1000,25.2,52410,19740,24680,38870,64830,99100
Management,IL,436590,73.651,54.25,112840,42790,64690,96890,139610,203670
Business and Financial Operations,IL,328610,55.435,35.83,74530,34720,48220,65380,89160,119940
Computer and Mathematical,IL,172680,29.13,41.74,86820,43800,61280,83470,109040,131910
Architecture and Engineering,IL,89600,15.114,39.39,81920,45060,59180,77860,100200,125030
"Life, Physical, and Social Science",IL,35080,5.917,34.29,71330,34570,45560,62960,90330,119830
Community and Social Service,IL,77480,13.07,23.48,48840,22890,30530,42990,62820,83060
Legal,IL,47490,8.012,54.63,113630,38810,56200,85940,150770,#
"Education, Training, and Library",IL,376650,63.539,27.41,57010,21710,30850,48830,72810,99000
"Arts, Design, Entertainment, Sports, and Media",IL,74020,12.487,25.66,53380,19810,28390,45370,66690,94600
Healthcare Practitioners and Technical,IL,349020,58.879,37.79,78610,30960,46040,64740,90660,127910
Healthcare Support,IL,163670,27.61,15.1,31410,21020,23210,27690,36220,48250
Protective Service,IL,149870,25.283,25.06,52130,20760,27290,43010,75430,96220
Food Preparation and Serving Related,IL,508850,85.841,11.52,23960,18340,19080,20890,25520,33680
Building and Grounds Cleaning and Maintenance,IL,167140,28.196,14.74,30650,19400,21920,27550,36150,47060
Personal Care and Service,IL,165520,27.923,13.25,27560,18750,20050,23100,28960,43130
Sales and Related,IL,571680,96.439,20.15,41920,18650,20740,27560,49140,80330
Office and Administrative Support,IL,903510,152.418,18.38,38230,21060,26310,35020,47170,60030
"Farming, Fishing, and Forestry",IL,5760,0.972,15.67,32590,20570,23640,29370,37940,49100
Construction and Extraction,IL,176110,29.709,31.44,65390,28740,41350,65620,89790,101000
"Installation, Maintenance, and Repair",IL,212050,35.771,23.93,49780,24210,33040,47140,63480,79810
Production,IL,436540,73.642,18.13,37700,20880,25070,33680,46370,61240
Transportation and Material Moving,IL,479920,80.96,18.17,37800,19420,22520,30890,46070,64120
All,IN,3018490,1000,21.13,43950,18480,23530,34590,52800,77650
Management,IN,148070,49.055,45.95,95580,38910,55460,81220,117510,165610
Business and Financial Operations,IN,117190,38.823,30.47,63380,32430,42630,57910,77510,100140
Computer and Mathematical,IN,57410,19.018,34.93,72660,37100,50940,69080,91260,114670
Architecture and Engineering,IN,50060,16.586,34.75,72280,40120,52700,68500,87230,108820
